,contrast,homogeneity,correlation,energy,class
700,0.266003384,0.970601012,0.965358649,0.703652653,1
701,0.308376051,0.96425386,0.961173329,0.673365202,1
702,0.467765966,0.953259704,0.950648201,0.680418564,1
703,0.465240777,0.953606654,0.950538921,0.680838318,1
704,0.275563596,0.971258667,0.970833231,0.686363373,1
705,0.4294336,0.957398408,0.95465071,0.681186136,1
706,0.378626802,0.961559973,0.959984761,0.68264414,1
707,0.425797328,0.957845269,0.955056443,0.681347806,1
708,0.439887882,0.953500037,0.95356612,0.680494598,1
709,0.307921517,0.96451143,0.961160651,0.673755836,1
710,0.174873273,0.978545826,0.977908201,0.679553764,1
711,0.256609682,0.969388607,0.96767204,0.675027148,1
712,0.212822909,0.973260458,0.973135871,0.676687931,1
713,0.244690791,0.969821192,0.969159959,0.675475619,1
714,0.272518371,0.96497847,0.965661087,0.673853586,1
715,0.300446958,0.964549168,0.966590111,0.735482262,1
716,0.302214591,0.96479172,0.966169121,0.735665224,1
717,0.172222536,0.978601825,0.980771316,0.740790994,1
718,0.257569253,0.968982848,0.97133373,0.736652598,1
719,0.222822656,0.97181811,0.975222679,0.737710982,1
720,0.244438272,0.968991784,0.972777839,0.736952413,1
721,0.272164844,0.965561696,0.969709641,0.736143622,1
722,0.250650236,0.966100765,0.961861162,0.693977852,1
723,0.251710815,0.966301706,0.961430334,0.694216503,1
724,0.148328214,0.978915941,0.97733458,0.699150436,1
725,0.217368248,0.96985814,0.966857577,0.695129832,1
726,0.192015353,0.972959566,0.970711477,0.696032782,1
727,0.220095452,0.969592248,0.966458643,0.694684515,1
728,0.257165223,0.964873523,0.960815926,0.693463418,1
729,0.242569632,0.972128015,0.967851583,0.785853401,1
730,0.244337264,0.971978695,0.967267816,0.785957705,1
731,0.139622239,0.982990111,0.981407911,0.789761897,1
732,0.212671397,0.974941976,0.971772302,0.786584784,1
733,0.181359057,0.977919386,0.975918325,0.787577895,1
734,0.205449357,0.975305336,0.972782134,0.78672827,1
735,0.223378198,0.972587071,0.970363482,0.785969324,1
736,0.29645716,0.959310869,0.960687219,0.711624296,1
737,0.298881341,0.958973431,0.960327228,0.711998158,1
738,0.170225061,0.975337613,0.977338019,0.717098722,1
739,0.28160905,0.960939512,0.962612916,0.711977496,1
740,0.262114593,0.963540537,0.965254028,0.7127365,1
741,0.269841671,0.962195733,0.964173473,0.712356864,1
742,0.258579329,0.962534153,0.965679225,0.712308176,1
743,0.230701245,0.969107549,0.957692549,0.792785907,1
744,0.231913336,0.969105492,0.957241377,0.79283632,1
745,0.131029328,0.981240437,0.975831347,0.796413617,1
746,0.20494432,0.972457718,0.962289444,0.793528086,1
747,0.181813591,0.975321726,0.966520658,0.79452279,1
748,0.19893437,0.973230006,0.963442216,0.793446499,1
749,0.213176435,0.970412663,0.960827048,0.792878538,1
750,0.240448474,0.969940213,0.954066288,0.780612665,1
751,0.241660564,0.96989494,0.953612355,0.780667975,1
752,0.134848399,0.98160899,0.974098416,0.784590817,1
753,0.210954269,0.97297946,0.959595306,0.781543801,1
754,0.188581096,0.975541287,0.96399688,0.78214583,1
755,0.206812959,0.973402606,0.960475476,0.781470848,1
756,0.210954269,0.970715693,0.959628826,0.781160786,1
757,0.29069973,0.962449662,0.964496989,0.717174309,1
758,0.290598722,0.962839523,0.964193095,0.717563986,1
759,0.167021564,0.976863759,0.9795161,0.722482001,1
760,0.268831595,0.965222273,0.967109234,0.718113095,1
761,0.233024419,0.968354645,0.971521994,0.719081301,1
762,0.2568622,0.965139717,0.968568579,0.718151793,1
763,0.263579203,0.962174542,0.967772587,0.717455356,1
764,0.239236383,0.972366683,0.963149865,0.778944186,1
765,0.238226307,0.972871721,0.963027844,0.77921721,1
